No,Time,DC/AC,Value,Unit,Auto
9,1,DC,12.87,V,AUTO
10,2,DC,12.88,V,AUTO
11,3,DC,12.88,V,AUTO
12,4,DC,12.88,V,AUTO
13,5,DC,12.89,V,AUTO
14,6,DC,12.89,V,AUTO
15,7,DC,12.89,V,AUTO
16,8,DC,12.89,V,AUTO
17,9,DC,12.89,V,AUTO
18,10,DC,12.89,V,AUTO
19,11,DC,12.90,V,AUTO
20,12,DC,12.90,V,AUTO
21,13,DC,12.90,V,AUTO
22,14,DC,12.90,V,AUTO
23,15,DC,12.91,V,AUTO
24,16,DC,12.90,V,AUTO
25,17,DC,12.91,V,AUTO
26,18,DC,12.91,V,AUTO
27,19,DC,12.91,V,AUTO
28,20,DC,12.91,V,AUTO
29,21,DC,12.91,V,AUTO
30,22,DC,12.91,V,AUTO
31,23,DC,12.91,V,AUTO
32,24,DC,12.92,V,AUTO
33,25,DC,12.92,V,AUTO
34,26,DC,12.92,V,AUTO
35,27,DC,12.92,V,AUTO
36,28,DC,12.92,V,AUTO
37,29,DC,12.92,V,AUTO
38,30,DC,12.92,V,AUTO
39,31,DC,12.92,V,AUTO
40,32,DC,12.92,V,AUTO
41,33,DC,12.92,V,AUTO
42,34,DC,12.92,V,AUTO
43,35,DC,12.93,V,AUTO
44,36,DC,12.93,V,AUTO
45,37,DC,12.93,V,AUTO
46,38,DC,12.93,V,AUTO
47,39,DC,12.93,V,AUTO
48,40,DC,12.93,V,AUTO
49,41,DC,12.93,V,AUTO
50,42,DC,12.93,V,AUTO
51,43,DC,12.93,V,AUTO
52,44,DC,12.93,V,AUTO
53,45,DC,12.93,V,AUTO
54,46,DC,12.93,V,AUTO
55,47,DC,12.93,V,AUTO
56,48,DC,12.93,V,AUTO
57,49,DC,12.93,V,AUTO
58,50,DC,12.93,V,AUTO
59,51,DC,12.94,V,AUTO
60,52,DC,12.94,V,AUTO
61,53,DC,12.94,V,AUTO
62,54,DC,12.94,V,AUTO
63,55,DC,12.94,V,AUTO
64,56,DC,12.94,V,AUTO
65,57,DC,12.94,V,AUTO
66,58,DC,12.94,V,AUTO
67,59,DC,12.94,V,AUTO
68,60,DC,12.94,V,AUTO
69,61,DC,12.94,A,AUTO
70,62,DC,12.95,mA,AUTO
71,63,DC,12.95,V,AUTO
72,64,DC,12.95,V,AUTO
73,65,DC,12.95,V,AUTO
74,66,DC,12.95,V,AUTO
75,67,DC,12.95,V,AUTO
76,68,DC,12.95,V,AUTO
77,69,DC,12.95,V,AUTO
78,70,DC,12.95,V,AUTO
79,71,DC,12.96,V,AUTO
80,72,DC,12.96,V,AUTO
81,73,DC,12.96,V,AUTO
82,74,DC,12.96,V,AUTO
83,75,DC,12.96,V,AUTO
84,76,DC,12.96,V,AUTO
85,77,DC,12.96,V,AUTO
86,78,DC,12.96,V,AUTO
87,79,DC,12.96,V,AUTO
88,80,DC,12.96,V,AUTO
89,81,DC,12.96,V,AUTO
90,82,DC,12.96,V,AUTO
91,83,DC,12.96,V,AUTO
92,84,DC,12.96,V,AUTO
93,85,DC,12.96,V,AUTO
94,86,DC,12.96,V,AUTO
95,87,DC,12.96,V,AUTO
96,88,DC,12.96,V,AUTO
97,89,DC,12.96,V,AUTO
98,90,DC,12.96,V,AUTO
99,91,DC,12.96,V,AUTO
100,92,DC,12.97,V,AUTO
