No;Time;DC/AC;Value;Unit;Auto
1;21:54:50;;11.40;k*;AUTO
2;21:55:06;;11.66;k*;AUTO
3;21:55:21;;11.84;k*;AUTO
4;21:55:36;;12.00;k*;AUTO
5;21:55:51;;12.13;k*;AUTO
6;21:56:06;;12.28;k*;AUTO
7;21:56:21;;12.42;k*;AUTO
8;21:56:36;;12.54;k*;AUTO
9;21:56:51;;12.66;k*;AUTO
10;21:57:06;;12.77;k*;AUTO
11;21:57:21;;12.88;k*;AUTO
12;21:57:36;;12.95;k*;AUTO
13;21:57:51;;12.99;k*;AUTO
14;21:58:06;;13.08;k*;AUTO
15;21:58:21;;13.20;k*;AUTO
16;21:58:36;;13.28;k*;AUTO
17;21:58:51;;13.33;k*;AUTO
18;21:59:06;;13.38;k*;AUTO
19;21:59:21;;13.41;k*;AUTO
20;21:59:36;;13.43;k*;AUTO
21;21:59:51;;13.44;k*;AUTO
22;22:00:06;;13.44;k*;AUTO
23;22:00:21;;13.43;k*;AUTO
24;22:00:36;;13.41;k*;AUTO
25;22:00:51;;13.39;k*;AUTO
26;22:01:06;;13.37;k*;AUTO
27;22:01:21;;13.36;k*;AUTO
28;22:01:36;;13.37;k*;AUTO
29;22:01:51;;13.38;k*;AUTO
30;22:02:06;;13.43;k*;AUTO
31;22:02:21;;13.47;k*;AUTO
32;22:02:36;;13.47;k*;AUTO
33;22:02:51;;13.40;k*;AUTO
34;22:03:06;;13.23;k*;AUTO
35;22:03:21;;13.00;k*;AUTO
36;22:03:36;;12.87;k*;AUTO
37;22:03:51;;12.85;k*;AUTO
38;22:04:06;;12.91;k*;AUTO
39;22:04:21;;12.97;k*;AUTO
40;22:04:36;;13.05;k*;AUTO
41;22:04:51;;13.15;k*;AUTO
42;22:05:06;;13.18;k*;AUTO
43;22:05:21;;13.10;k*;AUTO
44;22:05:36;;13.03;k*;AUTO
45;22:05:51;;13.03;k*;AUTO
46;22:06:06;;13.04;k*;AUTO
47;22:06:21;;13.08;k*;AUTO
48;22:06:36;;13.15;k*;AUTO
49;22:06:51;;13.25;k*;AUTO
50;22:07:06;;13.33;k*;AUTO
51;22:07:21;;13.40;k*;AUTO
52;22:07:36;;13.43;k*;AUTO
53;22:07:51;;13.42;k*;AUTO
54;22:08:06;;13.37;k*;AUTO
55;22:08:21;;13.34;k*;AUTO
56;22:08:36;;13.33;k*;AUTO
